# Patoshi-pattern coinbase outputs + a small supplement.
# Source:     https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
# Curators:   Sergio Demian Lerner (pattern), Jameson Lopp (dataset).
# Fetched:    2026-04-29
# Range:      blocks 3-49973
# Rows in:    21953 (p2pk=21953, p2pkh=0, skipped=0)
# Supplement: 1 address(es) appended (e.g. genesis, outside Lerner's pattern but universally attributed to Satoshi)
# Unique:     21954 addresses
# Total:      1097702.49000000 BTC
address,balance_btc
123NW9MjzA1ruijnfVepMBRkAgHeNAeRDC,50.00000000
123R93pcMREJovtebtFFU5aoa3UTvJKGw1,50.00000000
123ZsCUPBcXBUKygpE7VJh4MNjJLSiJHJX,50.00000000
123fxPkS5o6AVmaTmX9C9RUf3MeXvyJw8x,50.00000000
123gKRmwjTMUfMKXMdHMapJYVHewbZnwZS,50.00000000
123kax7nEKgsAXYpk4BWDyrw22sqYhydFx,50.00000000
123q3FBYzcCci21LZYpSVLnfqsAcy1KPcQ,50.00000000
123u92nd75btiFD5qV1W9W14ZADHMVq6kE,50.00000000
123veB4kjz3dkqxVTreW943RDkvyW6aikC,50.00000000
1243rSGeHmsAyHcCcrMTQdQthgZd5cChDx,50.00000000
1246y2496HEn5GRQcG8Px6ryEjctWB8het,50.00000000
12479JJE93hsEQ6U9LAKC4eGtgCHr7dnjB,50.00000000
1247XSc4zKBvoMCd966mKbfupa52QhTpSr,50.00000000
12492jxhRNH1xgSLbTsMcWTRNRcq1hZ67B,50.00000000
1249E4J6xgyXmU8pyFEaFB7f6UqDVEfgYL,50.00000000
124B4LhNZJY2UBCvYdoVzUbwddcSV3m98y,50.00000000
124BYmfHWJJ7B6BWFbZWRUgEGf8g1EoJ7F,50.00000000
124GseaDRpKWp8sZpY1P7bBwy4v5MqLMxV,50.00000000
124Mh8YryZvWjZZhezvyDdpTc4vpb4r6vo,50.00000000
124QDgnLV7e9xdUETajMXY7BDv5JXmWzaV,50.00000000
124QHYQDzf4XyoetKvDgLD5swfz64Sc2fh,50.00000000
124amLEn65ov4TtkDh4UZjpRZVqmp8TBeN,50.00000000
124fuepFVmSHgrva1qXrCGvdLSFThUkdGK,50.00000000
124hxvryqoXyX6u69XpM9pJTmQv4V6Bbpr,50.00000000
124kCW6FbMLELVDGKxXf5YyeKMYK5diktQ,50.00000000
124qoyr3CVVsY1fYuoqX8pa4r889nGVFfb,50.00000000
124wWBNuqqNCsGXVHuDoKMPYoTE9KeGQQk,50.00000000
1252j7okJtLj3CNS7uuirJJTWeFUUZvmNE,50.00000000
1259SmkQHyWg6qpFBtLTNefrTxZ7BCK2mS,50.00000000
125Aix2E98aAYe6udT6SvJDNKwp7NnkRyW,50.00000000
125BqvTmDndZH36qMuUzKVGh5t7rvkd8Yp,50.00000000
125BtGgQ6icE2FMV5478FVuVzuNBVhPf3g,50.00000000
125KorFb9BG9RuadbWvVE6Tk3oTSeQdcE2,50.00000000
125PPqw8Am7Po55jnxvqfjrzpN11m4P1im,50.00000000
125Rg7ZvmYxeoNeTbU4CaXrVSxbB331KPZ,50.00000000
125UNAwC8JHp6TsPf6NafaTfNem5kjsrWS,50.00000000
125Zuh13DkseCPf93oxqS5ikLPMR1sVy8Z,50.00000000
125eKnN2PCSDNgUqNbYNQRkgQxFrNmRCGq,50.00000000
125f5qLgrH95oTagchwntVNT8nNpEvGXEU,50.00000000
125iabAixLz1DhRYYj74XSjA9FWac6dHFj,50.00000000
125qynZWFLhEse6vkk2FM7Lt7nCvzvTzfn,50.00000000
125rvNCGC7uhQHj1SCBfwo9TVtvkoaHm7i,50.00000000
125sMR1tY3K2NWpyFF6Ur8uy93B1i1b2AD,50.00000000
1261hwCRfSEA8qLkVhLYS2a3CFzegiUxGU,50.00000000
1265zxm49h41n2im9U1LA4tCymzjT1RMXP,50.00000000
1269347N2PrvbXZreToJ4qVUiW7ESApNLU,50.00000000
126AVS4oARUB34cL6Pe2v9jt5aKFHjDGSm,50.00000000
126CuATkakuitibo21HKgBwYAj2dH1wd9R,50.00000000
126KXEWSZMb96wm5sAAbjeH8fApf2U8YcX,50.00000000
126LmvmsZuofXGbo75WAqmQ2vcZcu4kthS,50.00000000
126QkvCkDuCvRC9k3tcNVGbmADiYFqkGcc,50.00000000
126aFC7xLdU9ZLgvJw7kcRCM9xb7GJ3Kqk,50.00000000
126eeDRJThjqAvRF6Fbe3Tgdvs5y5cK5N3,50.00000000
126iHKkWpV7EYVn3mLtKJtveLddmBjKsc1,50.00000000
126ikm6aTShFqpY6Lrtaow6E7mfjnGEgi6,50.00000000
